age,Workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
25,'<undefined>',200681,'Some-college',10,'Never-married','<undefined>','Own-child','White','Male',0,0,40,'United-States','<=50K'
19,'Private',101509,'Some-college',10,'Never-married','Prof-specialty','Own-child','White','Male',0,0,32,'United-States','<=50K'
31,'Private',309974,'Bachelors',13,'Separated','Sales','Own-child','Black','Female',0,0,40,'United-States','<=50K'
29,'Self-emp-not-inc',162298,'Bachelors',13,'Married-civ-spouse','Sales','Husband','White','Male',0,0,70,'United-States','>50K'
23,'Private',211678,'Some-college',10,'Never-married','Machine-op-inspct','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
79,'Private',124744,'Some-college',10,'Married-civ-spouse','Prof-specialty','Other-relative','White','Male',0,0,20,'United-States','<=50K'
27,'Private',213921,'HS-grad',9,'Never-married','Other-service','Own-child','White','Male',0,0,40,'Mexico','<=50K'
40,'Private',32214,'Assoc-acdm',12,'Married-civ-spouse','Adm-clerical','Husband','White','Male',0,0,40,'United-States','<=50K'
67,'<undefined>',212759,'10th',6,'Married-civ-spouse','<undefined>','Husband','White','Male',0,0,2,'United-States','<=50K'
18,'Private',309634,'11th',7,'Never-married','Other-service','Own-child','White','Female',0,0,22,'United-States','<=50K'
31,'Local-gov',125927,'7th-8th',4,'Married-civ-spouse','Farming-fishing','Husband','White','Male',0,0,40,'United-States','<=50K'
18,'Private',446839,'HS-grad',9,'Never-married','Sales','Not-in-family','White','Male',0,0,30,'United-States','<=50K'
52,'Private',276515,'Bachelors',13,'Married-civ-spouse','Other-service','Husband','White','Male',0,0,40,'Cuba','<=50K'
46,'Private',51618,'HS-grad',9,'Married-civ-spouse','Other-service','Wife','White','Female',0,0,40,'United-States','<=50K'
59,'Private',159937,'HS-grad',9,'Married-civ-spouse','Sales','Husband','White','Male',0,0,48,'United-States','<=50K'
44,'Private',343591,'HS-grad',9,'Divorced','Craft-repair','Not-in-family','White','Female',14344,0,40,'United-States','>50K'
53,'Private',346253,'HS-grad',9,'Divorced','Sales','Own-child','White','Female',0,0,35,'United-States','<=50K'
49,'Local-gov',268234,'HS-grad',9,'Married-civ-spouse','Protective-serv','Husband','White','Male',0,0,40,'United-States','>50K'
33,'Private',202051,'Masters',14,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,50,'United-States','<=50K'
30,'Private',54334,'9th',5,'Never-married','Sales','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
43,'Federal-gov',410867,'Doctorate',16,'Never-married','Prof-specialty','Not-in-family','White','Female',0,0,50,'United-States','>50K'
57,'Private',249977,'Assoc-voc',11,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,40,'United-States','<=50K'
37,'Private',286730,'Some-college',10,'Divorced','Craft-repair','Unmarried','White','Female',0,0,40,'United-States','<=50K'
28,'Private',212563,'Some-college',10,'Divorced','Machine-op-inspct','Unmarried','Black','Female',0,0,25,'United-States','<=50K'
30,'Private',117747,'HS-grad',9,'Married-civ-spouse','Sales','Wife','Asian-Pac-Islander','Female',0,1573,35,'<undefined>','<=50K'
34,'Local-gov',226296,'Bachelors',13,'Married-civ-spouse','Protective-serv','Husband','White','Male',0,0,40,'United-States','>50K'
29,'Local-gov',115585,'Some-college',10,'Never-married','Handlers-cleaners','Not-in-family','White','Male',0,0,50,'United-States','<=50K'
48,'Self-emp-not-inc',191277,'Doctorate',16,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,1902,60,'United-States','>50K'
37,'Private',202683,'Some-college',10,'Married-civ-spouse','Sales','Husband','White','Male',0,0,48,'United-States','>50K'
48,'Private',171095,'Assoc-acdm',12,'Divorced','Exec-managerial','Unmarried','White','Female',0,0,40,'England','<=50K'
32,'Federal-gov',249409,'HS-grad',9,'Never-married','Other-service','Own-child','Black','Male',0,0,40,'United-States','<=50K'
